year,month,GDP grow rate,agriculture,industry,service,GDP real,GDP per capital,CPI,FDI in,FDI out,inflation rate,exchange rate,exchange,export,import,workers,unemployment rate
,,%,%,%,%,billion VND,thousand VND,%,billion USD,billion USD,%,%,VND/USD,milion USD,milion USD,milion people,%
2000,1,1.03,3.76,8.61,2.08,33973,5627,0.4,0.55,1.09,0.048,0.17,14052,853,949,37.6,2.3
2000,2,2.2,0.8,5.11,0.56,34496,5663,1.6,0.21,1.03,0.053,0.04,14057,894,1112,37.68,2.32
2000,3,3.9,3.33,1.24,4.08,34498,5690,-1.1,-0.4,1.39,0.054,0.03,14061,943,1181,37.75,2.33
2000,4,4.7,3.39,5.77,1.59,34675,5735,-0.7,0.32,0.22,0.048,0.05,14068,1125,1187,37.8,2.35
2000,5,2.1,0.69,0.26,3.17,35294,5771,-0.6,-0.7,0.16,0.047,0.11,14084,1160,1202,37.9,2.37
2000,6,4.4,1.12,0.83,4.7,35767,5807,-0.5,0.8,1.04,0.051,-0.01,14083,1216,1331,37.98,2.38
2000,7,3.7,1.86,4.53,2.45,36503,5844,-0.6,-0.8,-0.52,0.053,0.06,14092,1283,1382,38.05,2.4
2000,8,4.1,2.41,8.02,5.23,36887,5880,0.1,0.23,0.42,0.086,0.2,14120,1354,1481,38.12,2.42
2000,9,2.1,3.96,0.73,0.8,37304,5916,-0.2,0.45,0.92,0.068,0.67,14214,1370,1503,38.2,2.43
2000,10,5.9,0.42,9.12,1.62,38241,5988,0.1,0.64,1.54,0.077,1.32,14402,1372,1516,38.28,2.45
2000,11,0.9,1.47,0.22,5.05,38508,6024,0.9,0.22,-2.41,0.034,0.84,14523,1443,1521,38.35,2.47
2000,12,0.1,0.15,0.45,0.17,40200,6040,0.1,0.72,-2.47,0.083,0.11,14539,1478,1574,38.43,2.48
2001,1,0.8,1.78,3.38,4.7,36843,6061,0.3,0.54,0.35,0.07,0.21,14570,837,922,38.5,2.5
2001,2,0.08,1.38,10.19,4.2,38137,6112,0.4,0.32,0.11,0.035,0.13,14589,894,950,38.58,2.23
2001,3,3.7,0.7,4.61,1.92,38408,6163,-0.7,0.41,0.03,0.13,-0.14,14569,1160,1014,38.64,2.48
2001,4,6.7,2.2,8.95,2.03,38424,6214,-0.5,0.63,0.04,0.05,0.15,14591,1272,1296,38.75,2.45
2001,5,4.3,2.54,9.24,3.99,40429,6265,-0.2,0.85,0.19,0.11,0.65,14686,1290,1345,38.83,2.43
2001,6,2.6,1.71,7.4,1.98,40714,6316,0,1.09,0.02,0.023,1.25,14869,1298,1373,38.91,2.4
